Data: 2018-5-31
Czas: 13.53.15
$$$ DANE POMIAROWE PROCESU $$$
Wypelnienie PWM: 011
Czas zgrzewania: 011
-
t [ms]; I [A]; U [V]; F [kN]
25.0; 1256; 998; 994
25.1; 1279; 995; 1004
25.2; 1265; 1021; 1006
25.3; 1269; 1015; 1034
25.4; 1285; 1026; 999
25.5; 1283; 1008; 1033
25.6; 1292; 1043; 1021
25.7; 1262; 1042; 1017
25.8; 1298; 986; 982
25.9; 1263; 1002; 992
26.0; 1266; 986; 1018
26.1; 1274; 1003; 1018
26.2; 1261; 1028; 1033
26.3; 1259; 1016; 1035
26.4; 1261; 1012; 1021
26.5; 1276; 980; 1021
26.6; 1302; 990; 980
26.7; 1278; 1036; 988
26.8; 1280; 998; 977
26.9; 1275; 1009; 992
27.0; 1302; 1009; 1020
27.1; 1291; 1009; 1000
27.2; 1276; 999; 1018
27.3; 1279; 993; 1010
27.4; 1268; 1034; 987
27.5; 1258; 992; 1006
27.6; 1267; 1024; 989
27.7; 1291; 982; 996
27.8; 1265; 991; 1043
27.9; 1259; 986; 1020
28.0; 1290; 998; 1007
28.1; 1252; 1034; 1014
28.2; 1279; 1044; 996
28.3; 1301; 1012; 991
28.4; 1270; 1015; 975
28.5; 1285; 1019; 1018
28.6; 1263; 984; 1000
28.7; 1271; 1000; 993
28.8; 1280; 1001; 988
28.9; 1253; 1000; 999
29.0; 1285; 1020; 991
29.1; 1260; 981; 973
29.2; 1276; 992; 1009
29.3; 1279; 1000; 1048
29.4; 1259; 973; 994
29.5; 1292; 1026; 987
29.6; 1291; 988; 985
29.7; 1300; 1001; 1013
29.8; 1287; 987; 994
29.9; 1254; 1001; 1007
30.0; 1286; 1015; 1021
30.1; 1278; 1032; 1039
30.2; 1273; 1044; 1009
30.3; 1285; 996; 1004
30.4; 1269; 998; 1004
30.5; 1260; 1014; 984
30.6; 1280; 1044; 1015
30.7; 1254; 1000; 996
30.8; 1282; 989; 981
30.9; 1284; 1016; 980
31.0; 1269; 1025; 1013
31.1; 1268; 978; 992
31.2; 1257; 1001; 998
31.3; 1272; 988; 1024
31.4; 1289; 1014; 991
31.5; 1263; 1005; 1034
31.6; 1288; 1032; 1038
31.7; 1274; 994; 1020
31.8; 1263; 998; 987
31.9; 1257; 1028; 997
32.0; 1261; 1006; 1048
32.1; 1274; 1018; 1006
32.2; 1261; 1018; 1029
32.3; 1296; 994; 1036
32.4; 1286; 1009; 1022
32.5; 1285; 1020; 1004
32.6; 1274; 1027; 991
32.7; 1294; 991; 1028
32.8; 1268; 984; 1033
32.9; 1289; 1011; 1017
33.0; 1281; 991; 982
33.1; 1260; 1006; 1040
33.2; 1258; 1022; 1021
33.3; 1261; 1029; 1012
33.4; 1261; 990; 1038
33.5; 1284; 990; 1046
33.6; 1272; 985; 1009
33.7; 1288; 1008; 992
33.8; 1271; 1002; 1035
33.9; 1282; 990; 1000
34.0; 1278; 1006; 1024
34.1; 1275; 1008; 978
34.2; 1281; 1038; 1000
34.3; 1255; 983; 979
34.4; 1262; 1047; 1042
34.5; 1282; 1028; 1005
34.6; 1288; 1029; 1009
34.7; 1255; 1012; 1027
34.8; 1275; 1018; 1036
34.9; 1274; 976; 1000
35.0; 1288; 1010; 1036
35.1; 1251; 1028; 998
35.2; 1266; 1025; 1000
35.3; 1256; 1022; 1011
35.4; 1269; 988; 1031
35.5; 1280; 1002; 989
35.6; 1282; 1015; 1001
35.7; 1264; 999; 1014
35.8; 1269; 982; 1010
35.9; 1269; 1007; 1019
36.0; 1294; 1019; 1016
36.1; 1285; 1027; 1042
36.2; 1269; 1016; 1024
36.3; 1285; 989; 983
36.4; 1293; 1014; 1003
36.5; 1268; 981; 1005
36.6; 1269; 989; 981
36.7; 1255; 1008; 1020
36.8; 1273; 1019; 1007
36.9; 1285; 1007; 1048
37.0; 1281; 988; 1024
37.1; 1284; 1009; 1005
37.2; 1276; 1011; 1015
37.3; 1261; 1016; 1013
37.4; 1256; 1005; 995
37.5; 1256; 979; 987
37.6; 1273; 978; 1037
37.7; 1264; 979; 1038
37.8; 1263; 999; 1028
37.9; 1269; 980; 1010
38.0; 1261; 1026; 1014
38.1; 1266; 992; 1017
38.2; 1292; 1025; 1001
38.3; 1274; 1038; 986
38.4; 1283; 999; 985
38.5; 1250; 1006; 1024
38.6; 1267; 989; 982
38.7; 1269; 1019; 1004
38.8; 1251; 986; 1002
38.9; 1274; 1007; 1029
39.0; 1286; 1044; 1007
39.1; 1302; 1029; 981
39.2; 1300; 1040; 988
39.3; 1280; 1017; 995
39.4; 1289; 1012; 1008
39.5; 1268; 1007; 1016
39.6; 1284; 1018; 1013
39.7; 1299; 1030; 1005
39.8; 1277; 997; 1006
39.9; 1260; 1011; 1015
40.0; 1256; 1008; 1019
40.1; 1280; 980; 1027
40.2; 1262; 988; 996
40.3; 1284; 1034; 1000
40.4; 1280; 1006; 1016
40.5; 1280; 1007; 996
40.6; 1297; 1016; 984
40.7; 1276; 991; 1031
40.8; 1292; 999; 1019
40.9; 1252; 986; 1019
41.0; 1293; 1016; 1041
41.1; 1298; 990; 1015
41.2; 1278; 1032; 1017
41.3; 1280; 989; 996
41.4; 1270; 989; 1030
41.5; 1273; 1020; 1015
41.6; 1260; 1026; 1028
41.7; 1266; 1007; 991
41.8; 1269; 1024; 999
41.9; 1288; 990; 990
42.0; 1258; 1024; 1004
42.1; 1267; 983; 1012
42.2; 1279; 1030; 989
42.3; 1278; 1003; 1020
42.4; 1261; 1039; 1006
42.5; 1267; 1002; 998
42.6; 1271; 1015; 1031
42.7; 1268; 1008; 1017
42.8; 1266; 1030; 1008
42.9; 1285; 1017; 992
43.0; 1299; 987; 986
43.1; 1259; 1029; 1005
43.2; 1281; 987; 982
43.3; 1299; 998; 1026
43.4; 1285; 1018; 1035
43.5; 1270; 1016; 1018
43.6; 1284; 1026; 1005
43.7; 1276; 988; 1012
43.8; 1279; 984; 1040
43.9; 1260; 990; 976
44.0; 1264; 1043; 1042
44.1; 1284; 992; 1028
44.2; 1301; 973; 994
44.3; 1273; 1002; 1016
44.4; 1250; 1002; 996
44.5; 1255; 996; 1007
44.6; 1265; 1000; 1047
44.7; 1284; 1021; 1008
44.8; 1289; 1008; 1030
44.9; 1293; 1012; 984
45.0; 1289; 1024; 1010
45.1; 1269; 999; 979
45.2; 1292; 1031; 1005
45.3; 1300; 1025; 1007
45.4; 1272; 996; 1009
45.5; 1281; 980; 1010
45.6; 1290; 1028; 1002
45.7; 1287; 1011; 1002
45.8; 1284; 1009; 996
45.9; 1269; 999; 997
46.0; 1293; 982; 1036
46.1; 1290; 1007; 1025
46.2; 1295; 1008; 1021
46.3; 1269; 981; 1009
46.4; 1268; 1044; 1002
46.5; 1261; 1031; 1019
46.6; 1292; 980; 994
46.7; 1271; 1008; 1030
46.8; 1278; 1036; 1002
46.9; 1285; 1018; 1019
47.0; 1252; 1000; 981
47.1; 1281; 989; 1015
47.2; 1277; 981; 987
47.3; 1261; 1002; 991
47.4; 1275; 1030; 1008
47.5; 1252; 1024; 1012
47.6; 1272; 990; 1030
47.7; 1276; 1006; 990
47.8; 1301; 995; 980
47.9; 1283; 1016; 1033
48.0; 1261; 1021; 990
48.1; 1268; 989; 1001
48.2; 1302; 1036; 1029
48.3; 1285; 1042; 1020
48.4; 1270; 996; 980
48.5; 1289; 1026; 977
48.6; 1288; 1015; 992
48.7; 1292; 1017; 1004
48.8; 1273; 986; 1022
48.9; 1277; 1042; 1043
49.0; 1277; 1000; 1005
49.1; 1276; 1029; 1010
49.2; 1280; 995; 1004
49.3; 1274; 1032; 994
49.4; 1265; 996; 997
49.5; 1279; 989; 990
49.6; 1275; 1008; 1010
49.7; 1284; 995; 1026
49.8; 1293; 1020; 991
49.9; 1288; 1038; 1005
50.0; 1257; 978; 980
50.1; 1262; 1037; 1002
50.2; 1268; 1044; 989
50.3; 1270; 988; 1002
50.4; 1261; 1029; 1014
50.5; 1291; 997; 1030
50.6; 1273; 993; 994
50.7; 1260; 1031; 1015
50.8; 1261; 1008; 1017
50.9; 1292; 1022; 1027
51.0; 1281; 994; 991
51.1; 1296; 1034; 1004
51.2; 1287; 1003; 1030
51.3; 1287; 1024; 1006
51.4; 1249; 1025; 994
51.5; 1299; 1010; 998
51.6; 1252; 1031; 1001
51.7; 1291; 1001; 989
51.8; 1291; 997; 1007
51.9; 1297; 986; 1015
52.0; 1259; 986; 1012
52.1; 1293; 1008; 1022
52.2; 1271; 1007; 999
52.3; 1264; 1013; 984
52.4; 1256; 1004; 1012
52.5; 1286; 981; 999
52.6; 1261; 989; 999
52.7; 1287; 988; 987
52.8; 1252; 994; 1017
52.9; 1284; 1034; 988
53.0; 1276; 1021; 1014
53.1; 1276; 1006; 994
53.2; 1301; 1009; 1018
53.3; 1260; 1009; 1028
53.4; 1282; 983; 1034
53.5; 1288; 1008; 991
53.6; 1280; 1020; 986
53.7; 1282; 1028; 1004
53.8; 1254; 1024; 1024
53.9; 1275; 1014; 1007
54.0; 1282; 989; 1006
54.1; 1293; 1029; 1048
54.2; 1292; 1006; 1007
54.3; 1270; 1030; 1018
54.4; 1261; 1025; 989
54.5; 1255; 1014; 1012
54.6; 1264; 1001; 1011
54.7; 1267; 983; 1018
54.8; 1292; 987; 990
54.9; 1290; 987; 1002
55.0; 1291; 998; 1002
55.1; 1281; 978; 991
55.2; 1268; 1038; 1029
55.3; 1292; 1041; 1019
55.4; 1261; 1036; 989
55.5; 1266; 997; 1015
55.6; 1254; 1012; 1032
55.7; 1271; 1017; 1039
55.8; 1256; 996; 1032
55.9; 1287; 1020; 1004
56.0; 1284; 1030; 1026
56.1; 1256; 977; 1005
56.2; 1257; 1008; 1013
56.3; 1255; 980; 1012
56.4; 1252; 1015; 1024
56.5; 1264; 1024; 1033
56.6; 1286; 1026; 1048
56.7; 1262; 1002; 998
56.8; 1288; 1009; 990
56.9; 1298; 1020; 1002
57.0; 1278; 998; 1005
57.1; 1271; 974; 977
57.2; 1268; 1010; 999
57.3; 1284; 975; 986
57.4; 1283; 1020; 996
57.5; 1274; 1034; 1000
57.6; 1260; 1003; 1003
57.7; 1285; 999; 996
57.8; 1293; 1015; 1015
57.9; 1283; 1027; 1027
58.0; 1265; 988; 987
58.1; 1268; 981; 996
58.2; 1266; 1005; 1003
58.3; 1283; 1026; 1032
58.4; 1261; 1041; 1007
58.5; 1284; 994; 1016
58.6; 1294; 1015; 1004
58.7; 1283; 1038; 999
58.8; 1282; 1046; 1020
58.9; 1284; 988; 999
59.0; 1260; 982; 1012
59.1; 1269; 1027; 1002
59.2; 1258; 980; 989
59.3; 1283; 1033; 1010
59.4; 1279; 985; 1014
59.5; 1289; 978; 994
59.6; 1279; 1007; 1010
59.7; 1285; 1013; 1013
59.8; 1269; 1036; 988
59.9; 1285; 1032; 994
60.0; 1275; 988; 1019
60.1; 1267; 991; 1016
60.2; 1276; 986; 989
60.3; 1263; 1019; 1004
60.4; 1261; 1021; 1024
60.5; 1287; 1032; 997
60.6; 1275; 1008; 1030
60.7; 1277; 980; 981
60.8; 1301; 1028; 1001
60.9; 1258; 988; 997
61.0; 1281; 1024; 1000
61.1; 1273; 1006; 1022
61.2; 1290; 1001; 1012
61.3; 1267; 1030; 1030
61.4; 1267; 1015; 1000
61.5; 1274; 1030; 1015
61.6; 1287; 1024; 997
61.7; 1269; 998; 1005
61.8; 1291; 1002; 1028
61.9; 1282; 998; 986
62.0; 1291; 1011; 1018
62.1; 1288; 1011; 1026
62.2; 1299; 1001; 978
62.3; 1288; 1000; 1023
62.4; 1288; 1034; 995
62.5; 1261; 1046; 1045
62.6; 1271; 1017; 976
62.7; 1278; 1017; 1024
62.8; 1274; 979; 996
62.9; 1282; 1018; 986
63.0; 1272; 1019; 1007
63.1; 1271; 1009; 1026
63.2; 1278; 981; 984
63.3; 1269; 997; 1015
63.4; 1285; 992; 1003
63.5; 1294; 1028; 1028
63.6; 1281; 1015; 1005
63.7; 1284; 1020; 1026
63.8; 1265; 1028; 1028
63.9; 1279; 1039; 1030
64.0; 1301; 1009; 1022
64.1; 1257; 985; 987
64.2; 1264; 1014; 986
64.3; 1292; 1012; 1027
64.4; 1286; 984; 1028
64.5; 1280; 1017; 992
64.6; 1283; 1012; 993
64.7; 1287; 1000; 1018
64.8; 1301; 992; 1030
64.9; 1251; 1010; 1018
65.0; 1297; 990; 976
65.1; 1303; 1042; 1029
65.2; 1269; 1033; 1001
65.3; 1256; 996; 984
65.4; 1301; 1025; 1029
65.5; 1260; 988; 990
65.6; 1290; 994; 971
65.7; 1263; 1017; 1010
65.8; 1264; 1026; 992
65.9; 1296; 989; 1005
66.0; 1274; 994; 1003
66.1; 1264; 1002; 1025
66.2; 1288; 994; 996
66.3; 1261; 1036; 1041
66.4; 1286; 1030; 1030
66.5; 1299; 1000; 1025
66.6; 1276; 1002; 1004
66.7; 1269; 992; 1004
66.8; 1288; 1012; 1029
66.9; 1284; 983; 1015
67.0; 1261; 1018; 1035
67.1; 1285; 1024; 1033
67.2; 1257; 1041; 1021
67.3; 1267; 976; 982
67.4; 1288; 994; 1003
67.5; 1261; 1023; 1032
67.6; 1301; 1014; 1014
67.7; 1267; 1009; 998
67.8; 1293; 989; 1007
67.9; 1284; 1013; 995
68.0; 1255; 989; 1010
68.1; 1265; 1030; 1015
68.2; 1269; 986; 994
68.3; 1273; 1017; 988
68.4; 1262; 969; 978
68.5; 1258; 981; 1010
68.6; 1256; 1017; 1013
68.7; 1262; 1005; 1028
68.8; 1269; 1004; 1001
68.9; 1293; 1034; 987
69.0; 1282; 1008; 1012
69.1; 1274; 999; 1008
69.2; 1292; 1022; 1027
69.3; 1272; 977; 1012
69.4; 1273; 998; 994
69.5; 1273; 1031; 1002
69.6; 1288; 998; 1021
69.7; 1281; 1009; 1011
69.8; 1261; 1026; 992
69.9; 1275; 1029; 997
70.0; 1273; 1011; 982
70.1; 1288; 1030; 1016
70.2; 1259; 989; 1014
70.3; 1273; 1005; 990
70.4; 1291; 1030; 1015
70.5; 1276; 1028; 999
70.6; 1265; 987; 1029
70.7; 1284; 1025; 992
70.8; 1291; 992; 1001
70.9; 1290; 1002; 1005
71.0; 1258; 998; 984
71.1; 1261; 1019; 1022
71.2; 1283; 1007; 1028
71.3; 1279; 1005; 1014
71.4; 1279; 996; 1015
71.5; 1255; 990; 1009
71.6; 1292; 1024; 998
71.7; 1290; 1003; 1032
71.8; 1278; 1022; 1018
71.9; 1282; 1033; 980
72.0; 1291; 1015; 975
72.1; 1264; 1049; 1002
72.2; 1284; 1019; 991
72.3; 1274; 1015; 1047
72.4; 1269; 992; 1001
72.5; 1287; 1012; 981
72.6; 1274; 1001; 1008
72.7; 1285; 991; 1031
72.8; 1281; 1019; 1037
72.9; 1286; 1024; 1028
73.0; 1289; 1036; 1014
73.1; 1290; 1019; 982
73.2; 1291; 1006; 1030
73.3; 1300; 990; 981
73.4; 1273; 1048; 1014
73.5; 1264; 1005; 995
73.6; 1300; 1026; 1002
73.7; 1264; 1042; 1010
73.8; 1293; 1048; 986
73.9; 1301; 1018; 998
74.0; 1277; 994; 1006
74.1; 1269; 988; 999
74.2; 1293; 993; 995
74.3; 1269; 994; 989
74.4; 1292; 1020; 1026
74.5; 1276; 1015; 993
74.6; 1260; 1002; 1000
74.7; 1280; 1013; 1002
74.8; 1299; 1003; 1010
74.9; 1282; 999; 1034
75.0; 1259; 976; 1024
75.1; 1273; 1006; 989
75.2; 1260; 972; 1024
75.3; 1284; 1007; 1009
75.4; 1291; 983; 1037
75.5; 1285; 990; 998
75.6; 1266; 1015; 1027
75.7; 1273; 1009; 1002
75.8; 1272; 1031; 983
75.9; 1282; 1019; 1005
76.0; 1258; 1034; 1029
76.1; 1272; 1030; 1001
76.2; 1278; 1000; 1029
76.3; 1287; 1018; 996
76.4; 1273; 1009; 1030
76.5; 1261; 990; 1048
76.6; 1277; 1011; 994
76.7; 1273; 993; 1002
76.8; 1273; 1035; 1029
76.9; 1292; 1005; 983
77.0; 1286; 1042; 991
77.1; 1261; 996; 1014
77.2; 1263; 1036; 1004
77.3; 1274; 1040; 1020
77.4; 1287; 1054; 996
77.5; 1259; 996; 984
77.6; 1280; 999; 1011
77.7; 1284; 1022; 1038
77.8; 1285; 1014; 1025
77.9; 1282; 1005; 1032
78.0; 1269; 1003; 999
78.1; 1290; 1032; 991
78.2; 1285; 989; 982
78.3; 1253; 988; 1038
78.4; 1287; 995; 1010
78.5; 1270; 1024; 985
78.6; 1277; 1010; 998
78.7; 1273; 986; 1037
78.8; 1290; 1012; 1004
78.9; 1288; 1013; 1022
79.0; 1277; 1046; 1032
79.1; 1291; 1021; 982
79.2; 1293; 1007; 1016
79.3; 1269; 992; 994
79.4; 1261; 1009; 1026
79.5; 1286; 1026; 1015
79.6; 1280; 1009; 1005
79.7; 1278; 992; 999
79.8; 1276; 1000; 1040
79.9; 1266; 990; 990
80.0; 1300; 1038; 1031
80.1; 1272; 983; 1007
80.2; 1257; 1008; 1014
80.3; 1275; 1031; 1031
80.4; 1261; 1018; 1010
80.5; 1282; 1029; 1003
80.6; 1269; 987; 987
80.7; 1287; 1029; 1029
80.8; 1264; 1014; 1040
80.9; 1261; 1018; 1011
81.0; 1277; 1025; 994
81.1; 1293; 994; 988
81.2; 1278; 987; 1007
81.3; 1297; 1002; 1021
81.4; 1273; 1036; 1025
81.5; 1290; 1008; 999
81.6; 1261; 1001; 1013
81.7; 1265; 1030; 1040
81.8; 1272; 1005; 1010
81.9; 1276; 1035; 1022
82.0; 1271; 981; 1036
82.1; 1291; 1005; 1025
82.2; 1282; 1029; 1019
82.3; 1270; 1016; 1005
82.4; 1263; 982; 1035
82.5; 1276; 980; 986
82.6; 1288; 986; 1014
82.7; 1261; 1041; 984
82.8; 1272; 1036; 1028
82.9; 1293; 991; 1018
83.0; 1299; 1001; 999
83.1; 1301; 1011; 999
83.2; 1265; 1032; 1037
83.3; 1292; 1038; 998
83.4; 1269; 1010; 1017
83.5; 1270; 1011; 1021
83.6; 1261; 1002; 1014
83.7; 1272; 1033; 999
83.8; 1288; 996; 1007
83.9; 1281; 992; 1016
84.0; 1265; 999; 1002
84.1; 1288; 977; 973
84.2; 1277; 998; 1025
84.3; 1257; 1006; 1032
84.4; 1271; 1038; 1015
84.5; 1267; 1030; 986
84.6; 1256; 1031; 1011
84.7; 1271; 1006; 1020
84.8; 1270; 1009; 1036
84.9; 1280; 1005; 993
85.0; 1253; 1040; 1012
85.1; 1293; 1010; 1000
85.2; 1267; 1026; 1003
85.3; 1261; 994; 1003
85.4; 1254; 1002; 1010
85.5; 1285; 1013; 986
85.6; 1261; 1028; 1007
85.7; 1277; 989; 1014
85.8; 1269; 1017; 1014
85.9; 1301; 1001; 1029
86.0; 1276; 1002; 1020
86.1; 1263; 995; 1015
86.2; 1251; 988; 1016
86.3; 1261; 1012; 1024
86.4; 1288; 1024; 1021
86.5; 1293; 1010; 1018
86.6; 1285; 984; 1014
86.7; 1285; 1014; 989
86.8; 1273; 1018; 1015
86.9; 1263; 999; 1032
87.0; 1283; 1000; 1001
87.1; 1272; 998; 1008
87.2; 1269; 1023; 984
87.3; 1282; 1033; 1003
87.4; 1269; 1002; 978
87.5; 1285; 1042; 1003
87.6; 1264; 1042; 1031
87.7; 1281; 1041; 1001
87.8; 1288; 1002; 1022
87.9; 1260; 991; 993
88.0; 1269; 1004; 1026
88.1; 1274; 1019; 1014
88.2; 1285; 1012; 1039
88.3; 1283; 990; 1006
88.4; 1291; 1038; 1021
88.5; 1266; 995; 988
88.6; 1293; 990; 1045
88.7; 1272; 1014; 1011
88.8; 1258; 989; 979
88.9; 1298; 984; 1012
89.0; 1291; 1037; 998
89.1; 1291; 1015; 1022
89.2; 1261; 1036; 1036
89.3; 1283; 1032; 1008
89.4; 1280; 986; 1035
89.5; 1276; 988; 1029
89.6; 1266; 1026; 1022
89.7; 1296; 1017; 1019
89.8; 1265; 1026; 1008
89.9; 1274; 1042; 1001
90.0; 1280; 1033; 1020
